Info3	hippocampus	kidney	spleen	liver	striatum	cerebellum	cortex	all
Tcfap2c	199.7553522499	214.4099960327	453.5799865723	163.6427131552	362.3566433924	256.3668211588	258.9773219835	240.2666286967
Sgta	33552.4069550824	22748.5400390625	13079.3647460938	14150.856323325	22189.4078218197	27334.2917042683	27138.8708572928	25533.9060261506
Cln3	1468.129954019	578.3300018311	1035.3450012207	696.0375042069	1145.7349543947	1311.9942321128	985.5231485395	1056.3272039435
null	325.4705413076	224.4100036621	208.3700027466	337.6674143664	326.2962524175	258.4596769543	334.5200485086	301.8706688783
Kchip2	2005.5156158494	219.6700057983	2710.9749755859	567.2450535345	1409.171202858	244.1610789347	988.1646671317	982.0922150815
Mrpl53_predicted	23864.5942219315	25741.5654296875	20959.89453125	18058.1667856351	16681.9244452653	23578.3999427251	26317.613936927	23877.5980107276
Ruvbl1	26486.9575750872	12260.9145507812	25420.7895507812	13302.9451514825	19909.5747700378	16921.713175358	24433.8359437589	23153.3971831131
LOC500981	1059.1467311222	1237.3950195313	5878.8950195313	975.6215622942	1031.7735295251	1084.1734070535	1519.495813816	1332.4540177481
null	272.5068189751	229.7900009155	305.7500076294	211.4372179032	274.1523996072	301.114567654	309.4602935789	281.9934965451
null	358.6999145012	439.7900085449	366.4499969482	184.2043080323	357.1936437433	239.3078790281	316.854793674	306.8397906889
null	211.5974100849	652.700012207	465.3850097656	230.6482628627	344.3783333877	477.3663106739	329.0196793413	334.0864654919
null	160.2491428667	153.2699966431	511.9550018311	162.5474419373	232.7494329773	330.6928954608	189.4782156423	216.4640737194
null	150.6104929384	115.3249969482	171.8600006104	252.2065324047	169.2603675438	213.8308177869	201.1377778939	188.2116774608
LOC289369	300.3117954223	198.4199981689	233.8799972534	267.1323797953	362.8820473358	262.2915653244	331.0765627194	276.6729921605
LOC365868	180.8711087871	562.2200088501	211.9500083923	282.6295644382	226.4597256377	212.6931165978	245.4523490765	219.8981159447
null	664.196858536	1044.1450195313	660.8399963379	645.4315149955	533.2053295201	696.9789577212	802.3328732766	714.1079174455
null	125.4005286892	393.6999969482	264.1700057983	110.9664596065	180.405371569	145.0593132407	146.203743764	156.8188163619
LOC499124	5292.6337855612	2527.7000732422	1674.4400024414	701.5628429164	3534.3881897868	4121.8078350181	5182.6298633573	4299.1133067707
null	458.9788051677	304.5249938965	453.3699798584	316.4336376049	271.2853683688	232.566454511	568.8694635943	407.4074650465
null	179.088536859	136.9549980164	121.1200027466	197.8841183516	253.0984537778	141.5596815279	208.5212861584	191.2152389727
PRP-2	1957.675011132	233.2350006104	486.6650085449	337.6130385397	2748.0044218948	1223.0422725629	1751.6567282982	1493.2650265475
null	2546.9363706944	1696.1699829102	1891.8800048828	4377.3232199173	2419.3601432591	2095.3222326182	3025.7512061438	2660.575284733
Jam2	917.6465597938	156.5749969482	232.5300064087	315.641727641	768.1106585143	738.5947707966	876.4318704749	718.0562888481
null	324.828826572	752.5400085449	859.3450012207	1087.2213255799	309.3198057973	570.8775893769	505.7538812489	501.6479598893
null	387.9267767201	345.1450042725	247.5149993896	359.1822839015	290.0516117916	416.2898401501	273.4189155861	283.9728685434
Adh6	236.8919732782	5683.5	265.0599899292	22935.068501653	246.3074451238	239.6936874226	241.0202526586	238.8742490008
null	324.0603853756	596.8500061035	268.1499938965	470.6436924842	395.1328186158	161.9825507492	273.7372076024	279.6576475587
Sec61a2_predicted	20556.2398973352	1334.7100219727	1248.375	2666.3315378679	9066.4494485551	14620.7744131472	19388.1589131316	17894.4997081648
Olr1088_predicted	207.8371022912	166.5149993896	302.9900054932	266.3085852796	275.3064193783	225.8042276432	313.919400267	247.0552221183
Helic1_predicted	1206.5947832893	380.1999893188	393.5850067139	656.2044491692	868.6401007291	1192.4041861926	1301.4441864746	1072.4322672804
Cox7a2	97197.1648988866	151788.21875	67682.548828125	138608.185595461	53667.975342533	105491.853583141	121812.235643879	103652.437791945
LOC366153	385.362568674	291.5850067139	325.875	274.0074779791	294.6515117282	318.9594923254	385.5869565199	312.287895771
Lr8	15820.4125156982	20854.7744140625	56154.689453125	117031.077689997	12124.5572379268	10526.1995145186	15665.2317699964	14919.0606471133
LOC363618	258.2743922523	235.3650054932	910.8650054932	291.6371270975	120.7337145077	410.5198496281	358.4863504146	316.7768224456
LOC367797	33309.4689191067	30140.484375	89923.9453125	58551.657972992	21326.7836783201	31618.8085720253	27372.1333954497	28844.4592939121
LOC296323	340.0982860352	254.4500045776	254.8000030518	196.0471702055	298.6678868455	226.7425916986	233.5844299278	258.1654605248
RGD1310470	1331.2379193536	4438.0999755859	1638.2399902344	4434.7411639442	563.4917275323	1072.2127348186	1763.7569188109	1407.4861426607
LOC502099	597.7190708086	4688.4899902344	3852.3701171875	2174.4148350388	191.1634603121	448.9438636979	342.8722639841	393.2495280414
null	169.9969511282	519.549987793	118.6350021362	146.973727294	245.8839718084	225.6705814043	180.9346602801	194.5919931961
LOC500952	1265.1679194217	1044.7100219727	545.3650131226	369.1450588308	693.0368208412	1403.6596415082	938.6200733886	998.6827398297
RGD1306119_predicted	927.5755788095	645.0100097656	740.2700195313	963.7263112501	1138.8926038114	1255.5092112823	799.8956377798	882.1985581536
LOC499944	514.9625785128	621.5999755859	396.4100036621	373.0715709659	338.7781600129	656.7179865164	729.8558598506	565.4999766145
null	262.3882641598	221.0450057983	302.9849967957	250.0155311277	179.1831652207	187.3945179138	219.9334468156	203.7292280319
Il1rl1l	2288.5518859909	1325.9400024414	925.3800048828	2261.663564849	1571.4921511999	2420.3237343865	2208.9572413867	2097.6402459925
Bm259	137.5989529403	172.5099945068	487.4100112915	159.6394473605	174.9171070605	155.351710622	251.2000064908	189.6890500512
Pgrmc2	66269.2583103299	31106.544921875	33476.17578125	84700.6327336081	55038.9961889869	34684.622705782	61233.3452444464	58916.7558789569
LOC290071	269.1930551617	151.2299995422	1621.0100097656	111.3542252677	218.1734833659	294.9847621116	151.5968289832	168.911634449
LOC313245	3471.9760264948	1754.5100097656	4652.2950439453	1401.4081092802	2582.9815022368	2223.8024538127	2935.7632385862	2839.5954378163
LOC361262	1598.3709208546	1113.2499694824	4568.6850585938	1349.7878753079	422.4179208887	911.2381262879	1085.5037228561	1129.225581485
null	485.8963886136	586.0250091553	308.7349967957	208.0809373692	309.6599769669	290.9866262972	348.70079764	326.3771158211
null	2336.5331278402	297.8949966431	2121.1149902344	189.6967220134	663.8201436245	1979.9857132916	2417.8439396652	1974.3368987798
null	10919.6788941376	15400.4497070312	11957.8549804688	9733.069377388	4174.0327966199	12115.5265460502	12200.5300206673	11747.1008452234
null	620.1865653793	209.0250015259	121.3399963379	199.761728349	395.5303344677	186.3191511049	604.0053784813	455.4893573454
Pols_predicted	11234.9167414562	5813.4699707031	6274.3748779297	10695.4538015168	7953.1404513844	8725.3053345253	12648.8894256205	11223.8631767397
Dusp22_predicted	877.5062072773	747.9099884033	1033.5149841309	961.4402388893	295.1903369101	936.446540431	790.2212521356	812.5194134233
Rtbnd_predicted	285.9317033813	177.060005188	233.1150054932	149.7618059769	557.3296082362	507.3036850407	401.1663645309	369.8092003362
null	178.1348346027	167.689994812	195.6500015259	265.151204852	296.749300329	181.8545241642	221.1157857596	210.9110793105
null	270.5624098382	301.8750076294	297.6800079346	212.6616522173	224.9733806738	252.8226377107	260.2431799073	246.5262590745
LOC363806	221.5113761987	148.0599975586	408.6600036621	166.6763774293	253.7863608774	136.0917192527	207.1048371307	203.1976190623
RGD1311839_predicted	278.3911718188	239.0399932861	334.5799865723	289.1950636397	440.7013658411	236.5627358862	293.8627634547	272.7440245579
LOC316326	344.2449910237	1905.9899902344	2850.4899902344	994.9843471825	565.597944322	510.1187343895	692.6841695787	651.3342447128
null	196.4689720323	195.2649993896	250.9799957275	255.5229249215	264.6495558095	290.5333202385	268.6390291839	250.7669869987
Eif2c2	1247.021624838	290.2200126648	99.9400005341	398.4331427287	1093.3857642168	1097.8847090917	1082.9538724182	940.5809440048
Tiam2_predicted	50000.7499415428	3031.2449951172	1408.875	1120.3814542879	110825.353967561	4414.4676232652	84333.9850512558	56455.949489609
LOC498062	15175.7042796136	9240.9951171875	22158.5595703125	7179.1151241778	12470.2250757116	18316.656337658	15886.1388581666	15038.2537711301
Npy1r	2754.0765907251	578.3300170898	277.6449966431	300.6002886706	1341.3645780777	507.1051400499	6030.8018366222	2575.1328780896
null	165.2163976842	239.0999984741	268.1750030518	151.8433444481	179.9510417079	291.0957069946	174.7940179724	179.3840973117
null	442.3033028026	342.9200057983	312.0749969482	883.4881388278	263.6243280074	306.057219831	490.3253508191	424.9031060957
null	191.1594179573	213.3450012207	174.6650009155	196.1863096532	238.1096563912	214.4054966218	271.7638041179	224.5025218103
Abcd4	215.3789764447	425.3100128174	373.5850143433	135.0614133875	628.4915660374	221.2681723132	200.2683323367	205.8944586838
